리뷰,별점
머냐? 너무 재미없어서 10분씩 끊어서 봤다. 아프리카 부족영화 보는거같다. 출연료 아끼려고한건가? 근데 네이버 영화 없어지면 어디에 평점 적냐,1
"나는 눈의꽃 일본영화 여주였던, 나카죠 아야미가 더 좋던데 ㅋㅋ 다들 히로세만 얘기하네 ㅋㅋ",7
시간이 어떻게 가는줄 모르고 봄 . 초반에 폭탄으로 적당히 긴장감주다가 (가끔나오는 유머코드도 적절) 먹먹해지는 스토리로 감동까지 . 눈물이 얼마나 나던지..  세상에는 한마디로 결정 지을수 없는 일들이 얼마나 많던가..어릴때는 몰랐던 뜻대로 되지 않은 세상.단 옥의 티는 김래원은 아빠가 아니라 삼촌같음 ㅋ 딸 나이를 더 어리게 하던지. 김래원와이프는 와이프 아니고 누..나.. 그럼에고 불구하고 감동인 영화. 데OO이 이런 영화인줄은 몰랐네요.,10
신고,10
고대 이집트어 쓰던 놈이 5천년만에 깨어나자마자 바로 영어 쓰는 거 보고 껐음.,1
이러한 현실에 너무 화가나네요..ㅠㅠ,10
잘봤습니다 너무 좋았어요,10
약자의 편에 서서 사회적인 문제를 다루는 이런 영화를 칭찬합니다.,10
눈이 아름다워지는 작화... 개연성은 조금 아쉬웠지만 곱씹으면 곱씹을수록 여운이 남는 영화.다시 보러가고 싶음.,8
신고,10
몰입감이 엄청나다고 생각될 정도는 아님 연기는 좋으나 스토리가 좀 억지스러움..,6
슬픈 공포 스릴러란 말이 너무 잘 어울리는 영화 여주 너무 이쁨 아이덴티티23에서도 너무 이뻤는데,8
여주인공의 캐미도 좋고 영상미도 좋았습니다!,10
다이진 너무 슬프다ㅠㅠ 한 때 토지시였던 인간 아이였을까...라는 생각이 드는 순수한 존재 같았음.,10
성장 영화는 마흔이 넘은 지금도 나를 뒤돌아 보게 한다. 수작이다.,10
앞으로 영화를 만들때 흑인들은 출연수 제한을 두어야 함 죄다 깜둥이들만 나오니 누가 누군지 모르겠다 그리고 아파치하고 지상병력하고 합동작전을 펼쳤으면 적군의 주의력이 분산되어 진작에 이겼다 그런 최신식 장비를 가지고도 이렇게 헤매니 보는 내가 다 답답하다,6
킬링타임용으론 나름의 재미가 있음 어디까지나 킬링타임용으로만이다. 그 이상은 기대하지마시길.. B급 상업영화 수준으론 딱임,8
